QF/Qf2Loss,Evaluation/MaxModReturn,QF/Qf1Loss,Average/TrainAverageReturn,ReplayBuffer/buffer_size,Evaluation/MinModReturn,Evaluation/MaxReturn,Evaluation/Iteration,Evaluation/NumEpisodes,ShortRL/Lambda,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/StdReturn,Evaluation/MinReturn,Evaluation/TerminationRate,Evaluation/StdModReturn,Evaluation/AverageModReturn,AlphaTemperature/mean,Policy/Loss,Evaluation/AverageDiscountedReturn,Evaluation/AverageDiscountedModReturn
3.8301758766174316,260.7824569753991,4.267409801483154,56.83572138374538,10002,82.84177946927046,260.7824569753991,0,10,1.0,132.48769358635434,10002,46.26132883320429,82.84177946927046,1.0,46.26132883320429,132.48769358635434,0.4645727574825287,-32.62727355957031,131.5044241978997,131.5044241978997
3.389979839324951,242.0270150548833,3.651604175567627,87.45786663056182,20011,101.5834691477078,242.0270150548833,1,10,1.0,153.040659388243,20011,46.490239400564455,101.5834691477078,1.0,46.490239400564455,153.040659388243,0.3841049373149872,-66.2022476196289,151.7545197334851,151.7545197334851
11.266484260559082,369.9156675060361,11.26850414276123,114.38227353932227,30020,193.5206363098955,369.9156675060361,2,10,1.0,260.71072612906016,30020,59.72438772130714,193.5206363098955,1.0,59.72438772130714,260.71072612906016,0.4908893406391144,-83.98990631103516,257.0348253613652,257.0348253613652
22.695533752441406,389.8289662852009,18.365211486816406,162.87619694616495,40036,202.3514768591166,389.8289662852009,3,10,1.0,292.75833998750886,40036,58.44703022537465,202.3514768591166,1.0,58.44703022537465,292.75833998750886,0.7793554663658142,-115.96194458007812,288.17805485560143,288.17805485560143
30.98882293701172,718.7677917790969,29.302358627319336,195.84503205825135,50067,250.36601445433968,718.7677917790969,4,10,1.0,421.7299235904017,50067,143.42803363577363,250.36601445433968,1.0,143.42803363577363,421.7299235904017,0.8872416615486145,-142.57232666015625,411.51272194744297,411.51272194744297
30.04227638244629,671.2407414022325,23.359418869018555,223.6502247655735,60104,278.4962925164628,671.2407414022325,5,10,1.0,450.65707086205657,60104,107.16477795539197,278.4962925164628,1.0,107.16477795539197,450.65707086205657,0.901118814945221,-154.3455047607422,439.59277356978816,439.59277356978816
20.657825469970703,689.9516528890156,19.300350189208984,248.2480822458645,70110,222.30044767892724,689.9516528890156,6,10,1.0,386.1406427226126,70110,131.35026333665516,222.30044767892724,1.0,131.35026333665516,386.1406427226126,0.9264753460884094,-173.22438049316406,377.571550247918,377.571550247918
18.265695571899414,2888.5855072506747,16.016529083251953,270.44779934978004,80144,821.4626007264351,2888.5855072506747,7,10,1.0,2105.667191396985,80144,539.4181628424317,821.4626007264351,1.0,539.4181628424317,2105.667191396985,0.955217719078064,-195.84347534179688,1873.657702229471,1873.657702229471
69.22602844238281,2328.4989511913245,69.4616470336914,367.6114696010311,90205,522.0404351847709,2328.4989511913245,8,10,1.0,1197.7594712494429,90205,597.349480987693,522.0404351847709,1.0,597.349480987693,1197.7594712494429,1.0729800462722778,-212.68853759765625,1108.232194711825,1108.232194711825
20.592308044433594,9358.7891497026,25.61280059814453,447.81913889094676,100227,1898.0713003028102,9358.7891497026,9,10,1.0,7931.710204825524,100227,2857.6066212586993,1898.0713003028102,0.2,2857.6066212586993,7931.710204825524,1.106866717338562,-215.85684204101562,5129.1295622459675,5129.1295622459675
26.57557487487793,9359.409608286012,32.42140197753906,613.9152564435705,110941,9358.698546861904,9359.409608286012,10,10,1.0,9359.142179972045,110941,0.251326624630723,9358.698546861904,0.0,0.251326624630723,9359.142179972045,1.2571752071380615,-289.6817626953125,5917.743258952409,5917.743258952409
27.8060245513916,9359.716833922008,40.22481155395508,1258.6755347796022,121660,9359.156551672051,9359.716833922008,11,10,1.0,9359.616487286008,121660,0.16158419155278944,9359.156551672051,0.0,0.16158419155278944,9359.616487286008,1.29922354221344,-284.5939636230469,5918.0948898567885,5918.0948898567885
43.795860290527344,9359.185149245339,44.74357223510742,1880.9516737274703,131660,9358.613504103685,9359.185149245339,12,10,1.0,9359.000595395551,131660,0.1629679457542298,9358.613504103685,0.0,0.1629679457542298,9359.000595395551,1.3317047357559204,-322.07781982421875,5917.676815021414,5917.676815021414
31.977025985717773,9359.912167012139,41.12404251098633,2414.421020234943,141660,9359.824328572578,9359.912167012139,13,10,1.0,9359.872086885081,141660,0.03184596333665692,9359.824328572578,0.0,0.03184596333665692,9359.872086885081,1.3583590984344482,-380.6081848144531,5918.274724846601,5918.274724846601
18.318157196044922,9359.683895202119,23.950437545776367,2876.6619097112202,151660,9359.051845794807,9359.683895202119,14,10,1.0,9359.480073747352,151660,0.19169605161497558,9359.051845794807,0.0,0.19169605161497558,9359.480073747352,1.3839679956436157,-411.3678283691406,5917.962018830559,5917.962018830559
39.720428466796875,9359.856861704377,35.36615753173828,3280.900228886522,161660,9359.162745042906,9359.856861704377,15,10,1.0,9359.70371554155,161660,0.21452227079212877,9359.162745042906,0.0,0.21452227079212877,9359.70371554155,1.17965829372406,-436.45623779296875,5918.126610783109,5918.126610783109
65.12881469726562,9359.156635616066,63.40654754638672,3637.745854585328,171660,9358.152666558648,9359.156635616066,16,10,1.0,9358.719521123694,171660,0.2884253070219814,9358.152666558648,0.0,0.2884253070219814,9358.719521123694,1.2364455461502075,-503.5013732910156,5917.413212532857,5917.413212532857
