Evaluation/AverageDiscountedModReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/LossAfter,Evaluation/AverageReturn,Evaluation/MinModReturn,GaussianMLPPolicy/KLBefore,GaussianMLPPolicy/KL,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,Evaluation/TerminationRate,GaussianMLPValueFunction/LossAfter,Evaluation/MaxModReturn,Evaluation/StdModReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/MaxReturn,Evaluation/Iteration,TotalEnvSteps,GaussianMLPValueFunction/dLoss,Evaluation/AverageModReturn,GaussianMLPValueFunction/LossBefore,Evaluation/StdReturn,Evaluation/NumEpisodes
1201.5273411956919,1.9348481146153063e-06,4.28716120950412e-05,1201.5273411956919,474.55738237262545,0.0,1.164091099781217e-05,1.4193509817123413,4.480646020965651e-05,1.0,74490.4140625,3542.0208298706825,790.5339180923362,1201.5273411956919,474.55738237262545,3542.0208298706825,10,111008,19615.1015625,1201.5273411956919,94105.515625,790.5339180923362,78
1159.101741863824,2.3325701477006078e-06,4.106112464796752e-05,1159.101741863824,409.20142901114974,0.0,1.2216194591019303e-05,1.419400691986084,4.3393694795668125e-05,1.0,39181.27734375,3439.1135215172103,661.2172019837978,1159.101741863824,409.20142901114974,3439.1135215172103,11,121064,14741.8203125,1159.101741863824,53923.09765625,661.2172019837978,81
1221.5256142259602,2.050630428129807e-06,3.987793024862185e-05,1221.52561422596,203.7295704086656,0.0,1.2968445844308008e-05,1.4194490909576416,4.192856067675166e-05,1.0,157655.453125,5618.014612398047,907.3039246539241,1221.5256142259602,203.7295704086656,5618.014612398047,12,131268,46697.46875,1221.52561422596,204352.921875,907.3039246539241,78
1248.2803303486269,1.3478929759003222e-06,3.475336779956706e-05,1248.2803303486269,484.19813688306266,0.0,1.30887892737519e-05,1.4194979667663574,3.610126077546738e-05,1.0,86694.875,4458.605710002036,817.9307573725129,1248.2803303486269,484.19813688306266,4458.605710002036,13,141294,14868.78125,1248.2803303486269,101563.65625,817.9307573725129,75
1204.9581678202974,1.556534698465839e-06,3.3798834920162335e-05,1204.9581678202974,465.7099281263398,0.0,1.3472345926857088e-05,1.4195446968078613,3.5355369618628174e-05,1.0,95454.0078125,4363.903233700255,817.1115210357531,1204.9581678202974,465.7099281263398,4363.903233700255,14,151360,18700.984375,1204.9581678202974,114154.9921875,817.1115210357531,78
1125.4291284759138,1.2584114301716909e-06,2.851901444955729e-05,1125.4291284759136,390.1156896279495,0.0,1.2243780474818777e-05,1.4195910692214966,2.977742587972898e-05,1.0,137367.828125,5618.014612398047,786.1739537469298,1125.4291284759138,390.1156896279495,5618.014612398047,15,161365,12539.828125,1125.4291284759136,149907.65625,786.1739537469298,83
1319.1556603142699,7.796043064445257e-07,1.969838558579795e-05,1319.1556603142697,409.07769021662966,0.0,1.2673609489866067e-05,1.4196356534957886,2.0477989892242476e-05,1.0,149558.15625,5618.014612398047,938.24452928691,1319.1556603142699,409.07769021662966,5618.014612398047,16,171536,20228.859375,1319.1556603142697,169787.015625,938.24452928691,72
1069.759888729149,1.590604369994253e-06,2.5467166778980754e-05,1069.759888729149,409.20142901114974,0.0,1.1226500646444038e-05,1.4196789264678955,2.7057771148975007e-05,1.0,60602.953125,3542.0208298706825,700.1352245122072,1069.759888729149,409.20142901114974,3542.0208298706825,17,181620,11035.0078125,1069.759888729149,71637.9609375,700.1352245122072,88
1170.1733912961045,1.4898996596457437e-06,2.9278273359523155e-05,1170.1733912961045,484.1999603757162,0.0,1.257311669178307e-05,1.4197218418121338,3.07681730191689e-05,1.0,82386.15625,4898.191783346358,747.2884313553899,1170.1733912961045,484.1999603757162,4898.191783346358,18,191646,14455.1796875,1170.1733912961045,96841.3359375,747.2884313553899,80
1108.1926147979807,1.4983361324993894e-06,2.3961360057001002e-05,1108.1926147979805,428.40872671967503,0.0,1.2089557458239142e-05,1.4197636842727661,2.545969618950039e-05,1.0,66830.109375,3672.4959450307474,710.4921415174614,1108.1926147979807,428.40872671967503,3672.4959450307474,19,201854,18393.75,1108.1926147979805,85223.859375,710.4921415174614,86
